State,MinWage
Georgia,5.15
Wyoming,5.15
Alabama,0
Louisiana,0
Mississippi,0
New Hampshire,0
South Carolina,0
Tennessee,0
Idaho,7.25
Indiana,7.25
Iowa,7.25
Kansas,7.25
Kentucky,7.25
North Carolina,7.25
North Dakota,7.25
Oklahoma,7.25
Pennsylvania,7.25
Texas,7.25
Utah,7.25
Virginia,7.25
Wisconsin,7.25
New Mexico,7.50
Illinois,8.25
Nevada,8.25
Florida,8.46
Montana,8.50
Ohio,8.55
Missouri,8.60
Delaware,8.75
West Virginia,8.75
New Jersey,8.85
Nebraska,9
South Dakota,9.10
Arkansas,9.25
Michigan,9.25
Minnesota,9.86
Alaska,9.89
Connecticut,10.10
Hawaii,10.10
Maryland,10.10
Rhode Island,10.50
Oregon,10.75
Vermont,10.78
Arizona,11
Maine,11
Colorado,11.10
New York,11.10
California,12
Massachusetts,12
Washington,12